class;name;compo;mz;std;
Lyso GPCho;C28H56NO7P;LPC 20:1;550.3867;no;
Lyso GPCho;C28H58NO7P;LPC 20:0;552.4024;no;
Lyso GPCho;C29H52NO7P;LPC 21:4;558.3554;no;
Lyso GPCho;C29H60NO7P;LPC 21:0;566.418;no;
Lyso GPCho;C30H50NO7P;LPC 22:6;568.3398;no;
Lyso GPCho;C30H52NO7P;LPC 22:5;570.3554;no;
Lyso GPCho;C30H54NO7P;LPC 22:4;572.3711;no;
Lyso GPCho;C30H56NO7P;LPC 22:3;574.3867;no;
Lyso GPCho;C30H58NO7P;LPC 22:2;576.4024;no;
Lyso GPCho;C30H60NO7P;LPC 22:1;578.418;no;
Lyso GPCho;C30H62NO7P;LPC 22:0;580.4337;no;
Lyso GPCho;C32H64NO7P;LPC 24:1;606.4493;no;
Lyso GPCho;C32H66NO7P;LPC 24:0;608.465;no;
Sphingomyelin;C37H75N2O6P;SM 32:1_O2;675.5435;no;
Sphingomyelin;C37H77N2O6P;SM 32:0_O2;677.5592;no;
Sphingomyelin;C38H77N2O6P;SM 33:1_O2;689.5592;no;
Sphingomyelin;C39H77N2O6P;SM 34:2_O2;701.5592;no;
Sphingomyelin;C39H79N2O6P;SM 34:1_O2;703.5748;no;
Sphingomyelin;C39H81N2O6P;SM 34:0_O2;705.5905;no;
Sphingomyelin;C40H79N2O6P;SM 35:2_O2;715.5748;no;
Sphingomyelin;C40H81N2O6P;SM 35:1_O2;717.5905;no;
Sphingomyelin;C40H83N2O6P;SM 35:0_O2;719.6061;no;
Sphingomyelin;C41H79N2O6P;SM 36:3_O2;727.5748;no;
Sphingomyelin;C41H81N2O6P;SM 36:2_O2;729.5905;no;
Sphingomyelin;C41H83N2O6P;SM 36:1_O2;731.6061;no;
Sphingomyelin;C41H85N2O6P;SM 36:0_O2;733.6218;no;
Sphingomyelin;C42H83N2O6P;SM 37:2_O2;743.6061;no;
Sphingomyelin;C42H85N2O6P;SM 37:1_O2;745.6218;no;
Sphingomyelin;C43H83N2O6P;SM 38:3_O2;755.6061;no;
Sphingomyelin;C43H85N2O6P;SM 38:2_O2;757.6218;no;
Sphingomyelin;C43H87N2O6P;SM 38:1_O2;759.6374;no;
Sphingomyelin;C43H89N2O6P;SM 38:0_O2;761.6531;no;
Sphingomyelin;C44H87N2O6P;SM 39:2_O2;771.6374;no;
Sphingomyelin;C44H89N2O6P;SM 39:1_O2;773.6531;no;
Sphingomyelin;C45H87N2O6P;SM 40:3_O2;783.6374;no;
Sphingomyelin;C45H89N2O6P;SM 40:2_O2;785.6531;no;
